press1.x,press1.y,release1.x,release1.y,press2.x,press2.y,release2.x,release2.y,press3.x,press3.y,release3.x,release3.y,press4.x,press4.y,release4.x,release4.y
-7.853933566,1.569739661,4.092454292,843.8266448,-7.823382841,1.112310284,3.97375248,62.99133727,-7.929442653,1.783645484,4.032752512,195.6106052,-7.830474036,0.867141301,3.954787421,61.52070912
-7.844011691,0.895113601,4.092454292,663.6456927,-7.803539091,0.10794017,3.95390873,59.78052267,-7.850067653,1.184709178,4.012908762,64.15828583,-7.800708411,1.184709178,3.944865546,61.40128456
-7.814246066,0.811745177,4.072610542,563.3120016,-7.783695341,0.94337953,3.943986855,64.00473997,-7.840145778,1.070626072,3.983143137,60.1899783,-7.780864661,0.914858754,3.939904609,60.08420226
-7.804324191,0.941185625,4.062688667,392.623596,-7.753929716,1.467723037,3.924143105,58.54874363,-7.820302028,0.960930778,3.963299387,60.9597549,-7.775903723,1.118892001,3.934943671,60.08420226
-7.794402316,1.37557899,4.042844917,297.1556026,-7.744007841,0.860888669,3.89437748,60.8997014,-7.800458278,1.013584519,3.953377512,59.91700788,-7.770942786,0.684498636,3.915099921,59.27552739
-7.764636691,1.114504189,4.013079292,145.766206,-7.724164091,1.134688124,3.864611855,60.4151789,-7.770692653,0.796387836,3.933533762,60.04803368,-7.751099036,0.94337953,3.875412421,59.47684307
-7.715027316,0.352121895,3.993235542,76.51702174,-7.704320341,0.526537412,3.844768105,60.94064697,-7.750848903,0.987257648,3.913690012,59.11856939,-7.711411536,0.494945168,3.860529609,58.9274901
-7.695183566,0.91705266,3.963469917,65.01882509,-7.694398466,1.217617766,3.83484623,59.53484929,-7.731005153,0.627457083,3.883924387,61.23181542,-7.701489661,0.86878673,3.845646796,58.97525992
-7.685261691,0.747024954,3.953548042,60.14220848,-7.674554716,0.874052105,3.79515873,59.60650402,-7.721083278,1.046493107,3.874002512,59.13085306,-7.671724036,0.862205013,3.835724921,58.24506404
-7.655496066,1.000421083,3.913860542,58.99345795,-7.644789091,0.918807785,3.77531498,57.63770485,-7.681395778,0.779933542,3.844236887,60.02960818,-7.622114661,1.592775672,3.805959296,57.84243266
-7.625730441,0.763479248,3.894016792,59.25914916,-7.624945341,0.750315813,3.765393105,58.28259747,-7.671473903,0.772254871,3.804549387,58.49414955,-7.612192786,0.822714707,3.786115546,57.39593104
-7.615808566,1.118892001,3.874173042,57.91749953,-7.615023466,0.91354241,3.745549355,57.23279872,-7.651630153,0.579191154,3.794627512,57.37838294,-7.592349036,0.860011107,3.776193671,57.31014034
