press1.x,press1.y,release1.x,release1.y,press2.x,press2.y,release2.x,release2.y,press3.x,press3.y,release3.x,release3.y,press4.x,press4.y,release4.x,release4.y
-3.108686664,2.395745226,3.896638826,163.3546002,-3.242987737,1.609229966,3.861221325,75.68104982,-3.26053954,2.145639955,3.935793469,617.395404,-3.244410088,1.216301423,3.952070504,627.1768442
-3.049155414,1.570836614,3.866873201,74.26615312,-3.242987737,1.484177331,3.85129945,62.06664996,-3.24069579,2.139058238,3.935793469,512.0925138,-3.234488213,2.909119203,3.952070504,545.043456
-3.118608539,2.316764614,3.847029451,64.32548021,-3.242987737,2.250947438,3.8314557,66.98352971,-3.22085204,1.737573461,3.915949719,398.7142486,-3.214644463,2.046914191,3.942148629,438.9637375
-3.098764789,1.465529131,3.837107576,66.98239233,-3.213222112,1.623490355,3.801690075,65.7995205,-3.20100829,2.20706932,3.906027844,333.533461,-3.184878838,2.097374026,3.932226754,352.9609935
-3.078921039,2.444011156,3.807341951,61.25911246,-3.203300237,2.310182897,3.7917682,64.73493585,-3.171242665,1.899922496,3.886184094,199.4913347,-3.105503838,1.132055437,3.872695504,101.5531865
-3.059077289,2.514216144,3.787498201,66.26357022,-3.183456487,1.197872613,3.781846325,65.99742406,-3.166281728,2.089695355,3.846496594,62.50112789,-3.095581963,1.075013884,3.862773629,74.16333426
-3.029311664,2.659013932,3.767654451,65.26040391,-3.173534612,3.146061039,3.762002575,61.59918811,-3.16132079,1.675047143,3.816730969,69.12975966,-3.075738213,2.764321415,3.842929879,62.65126162
-3.019389789,1.500631625,3.757732576,59.89994723,-3.153690862,1.535734119,3.742158825,64.24358909,-3.14147704,0.84245986,3.806809094,65.40371338,-3.065816338,1.083789507,3.833008004,66.5720268
-2.979702289,1.474304755,3.708123201,63.7385938,-3.133847112,2.895955768,3.722315075,63.71470889,-3.02241454,1.434814449,3.796887219,66.06339191,-3.045972588,2.878404521,3.813164254,61.43881799
-2.920171039,2.303601179,3.688279451,64.40395921,-3.114003362,1.93502499,3.7123932,62.57846951,-3.00257079,2.165385108,3.786965344,64.6052749,-3.016206963,1.184709178,3.793320504,64.4428575
-2.910249164,1.737573461,3.658513826,60.07624063,-2.985018987,2.362836638,3.69254945,64.87597057,-2.992648915,1.368997272,3.767121594,65.43555993,-3.006285088,2.010714743,3.783398629,64.1207524
-2.830874164,1.601551296,3.638670076,63.51111845,-2.955253362,2.21803885,3.662783825,65.53564909,-2.98272704,2.558094262,3.747277844,64.7030893,-2.986441338,1.559867084,3.773476754,62.82755502
-2.811030414,1.904310308,3.608904451,66.91869923,-2.935409612,2.382581791,3.642940075,61.85509788,-2.972805165,1.645429414,3.737355969,60.5721369,-2.956675713,1.325119154,3.753633004,65.91894506
-2.850717914,1.750736896,3.589060701,60.11718619,-2.925487737,2.075434967,3.6330182,61.33986621,-2.952961415,2.167579014,3.727434094,64.67579226,-2.926910088,2.05788372,3.743711129,62.5102269
-2.830874164,1.715634402,3.569216951,64.97378497,-2.885800237,2.386969603,3.61317445,61.88694443,-2.933117665,1.169152391,3.697668469,62.99133727,-2.907066338,1.478692566,3.733789254,66.07249092
-2.811030414,1.873595626,3.559295076,61.17267183,-2.836190862,1.68491972,3.5933307,60.58578542,-2.92319579,2.231202285,3.687746594,63.14488313,-2.877300713,2.250947438,3.694101754,61.65946908
-2.741577289,1.447977884,3.539451326,60.79051323,-2.875878362,2.457174591,3.563565075,63.88872754,-2.90335204,1.483080378,3.677824719,64.58935162,-2.867378838,1.737573461,3.684179879,64.03544914
